NORAD_CAT_ID,OBJECT_NUMBER,OBJECT_NAME,INTLDES,OBJECT_ID,RCS,RCS_SIZE,COUNTRY,MSG_EPOCH,DECAY_EPOCH,SOURCE,MSG_TYPE,PRECEDENCE
45215,45215,STARLINK-1245,2020-012AP,2020-012AP,0,LARGE,US,5/16/2024 4:48,7/11/2024 0:00,60day_msg,Prediction,4
45681,45681,STARLINK-1396,2020-035AA,2020-035AA,0,LARGE,US,6/6/2024 6:29,7/11/2024 0:00,60day_msg,Prediction,4
47396,47396,STARLINK-2118,2021-005AZ,2021-005AZ,0,LARGE,US,7/11/2024 18:48,7/11/2024 0:00,satcat,Historical,1
47396,47396,STARLINK-2118,2021-005AZ,2021-005AZ,0,LARGE,US,7/11/2024 3:04,7/11/2024 0:00,decay_msg,Historical,2
55067,55067,NSL-2,2023-001BL,2023-001BL,0,MEDIUM,ISRA,7/17/2024 17:45,7/11/2024 0:00,satcat,Historical,1
55067,55067,NSL-2,2023-001BL,2023-001BL,0,MEDIUM,ISRA,7/17/2024 2:02,7/11/2024 0:00,decay_msg,Historical,2
55067,55067,NSL-2,2023-001BL,2023-001BL,0,MEDIUM,ISRA,7/10/2024 23:09,7/11/2024 0:00,60day_msg,Prediction,4
55067,55067,NSL-2,2023-001BL,2023-001BL,0,MEDIUM,ISRA,7/4/2024 4:07,7/11/2024 0:00,60day_msg,Prediction,4
60075,60075,STARLINK-32116,2024-113S,2024-113S,0,LARGE,US,7/6/2024 8:19,7/10/2024 5:42,TIP_msg,Prediction,3
60075,60075,STARLINK-32116,2024-113S,2024-113S,0,LARGE,US,7/7/2024 5:17,7/10/2024 5:41,TIP_msg,Prediction,3
47396,47396,STARLINK-2118,2021-005AZ,2021-005AZ,0,LARGE,US,7/10/2024 10:59,7/10/2024 23:11,TIP_msg,Prediction,3
47396,47396,STARLINK-2118,2021-005AZ,2021-005AZ,0,LARGE,US,7/10/2024 20:32,7/10/2024 22:49,TIP_msg,Prediction,3
47396,47396,STARLINK-2118,2021-005AZ,2021-005AZ,0,LARGE,US,7/10/2024 16:44,7/10/2024 22:37,TIP_msg,Prediction,3
47396,47396,STARLINK-2118,2021-005AZ,2021-005AZ,0,LARGE,US,7/11/2024 2:41,7/10/2024 22:19,TIP_msg,Prediction,3
47396,47396,STARLINK-2118,2021-005AZ,2021-005AZ,0,LARGE,US,7/9/2024 19:56,7/10/2024 20:17,TIP_msg,Prediction,3
60075,60075,STARLINK-32116,2024-113S,2024-113S,0,LARGE,US,7/8/2024 11:07,7/10/2024 11:33,TIP_msg,Prediction,3
60075,60075,STARLINK-32116,2024-113S,2024-113S,0,LARGE,US,7/9/2024 10:30,7/10/2024 10:53,TIP_msg,Prediction,3
60075,60075,STARLINK-32116,2024-113S,2024-113S,0,LARGE,US,7/9/2024 22:44,7/10/2024 10:48,TIP_msg,Prediction,3
60075,60075,STARLINK-32116,2024-113S,2024-113S,0,LARGE,US,7/10/2024 4:26,7/10/2024 10:47,TIP_msg,Prediction,3
60075,60075,STARLINK-32116,2024-113S,2024-113S,0,LARGE,US,7/10/2024 11:01,7/10/2024 10:29,TIP_msg,Prediction,3
60075,60075,STARLINK-32116,2024-113S,2024-113S,0,LARGE,US,7/10/2024 8:41,7/10/2024 10:25,TIP_msg,Prediction,3
14807,14807,SL-8 DEB *,1979-089D,1979-089D,0,SMALL,CIS,6/13/2024 3:48,7/10/2024 0:00,60day_msg,Prediction,4
26178,26178,CZ-4 DEB,1999-057BQ,1999-057BQ,0,SMALL,PRC,7/17/2024 17:45,7/10/2024 0:00,satcat,Historical,1
34292,34292,COSMOS 2251 DEB,1993-036MN,1993-036MN,0,SMALL,CIS,5/22/2024 1:29,7/10/2024 0:00,60day_msg,Prediction,4
47187,47187,H-2A DEB,2018-084CU,2018-084CU,0,SMALL,JPN,6/6/2024 6:29,7/10/2024 0:00,60day_msg,Prediction,4
47187,47187,H-2A DEB,2018-084CU,2018-084CU,0,SMALL,JPN,5/29/2024 22:24,7/10/2024 0:00,60day_msg,Prediction,4
47751,47751,STARLINK-2168,2021-017AF,2021-017AF,0,LARGE,US,6/13/2024 3:48,7/10/2024 0:00,60day_msg,Prediction,4
47999,47999,STARLINK-2218,2021-024Y,2021-024Y,0,LARGE,US,6/6/2024 6:29,7/10/2024 0:00,60day_msg,Prediction,4
51482,51482,DELTA 4 DEB,2018-005D,2018-005D,0,SMALL,US,6/13/2024 3:48,7/10/2024 0:00,60day_msg,Prediction,4
51797,51797,STARLINK-3627,2022-017AF,2022-017AF,0,LARGE,US,6/13/2024 3:48,7/10/2024 0:00,60day_msg,Prediction,4
51797,51797,STARLINK-3627,2022-017AF,2022-017AF,0,LARGE,US,6/6/2024 6:29,7/10/2024 0:00,60day_msg,Prediction,4
60075,60075,STARLINK-32116,2024-113S,2024-113S,0,LARGE,US,7/13/2024 18:42,7/10/2024 0:00,satcat,Historical,1
60075,60075,STARLINK-32116,2024-113S,2024-113S,0,LARGE,US,7/10/2024 11:18,7/10/2024 0:00,decay_msg,Historical,2
60080,60080,ELECTRON R/B,2024-114B,2024-114B,0,LARGE,US,7/5/2024 8:39,7/9/2024 8:29,TIP_msg,Prediction,3
60080,60080,ELECTRON R/B,2024-114B,2024-114B,0,LARGE,US,7/9/2024 6:04,7/9/2024 12:33,TIP_msg,Prediction,3
60080,60080,ELECTRON R/B,2024-114B,2024-114B,0,LARGE,US,7/9/2024 14:09,7/9/2024 12:20,TIP_msg,Prediction,3
60080,60080,ELECTRON R/B,2024-114B,2024-114B,0,LARGE,US,7/9/2024 10:12,7/9/2024 12:20,TIP_msg,Prediction,3
60080,60080,ELECTRON R/B,2024-114B,2024-114B,0,LARGE,US,7/8/2024 23:55,7/9/2024 12:15,TIP_msg,Prediction,3
60080,60080,ELECTRON R/B,2024-114B,2024-114B,0,LARGE,US,7/7/2024 11:38,7/9/2024 11:53,TIP_msg,Prediction,3
60080,60080,ELECTRON R/B,2024-114B,2024-114B,0,LARGE,US,7/8/2024 12:21,7/9/2024 11:39,TIP_msg,Prediction,3
60080,60080,ELECTRON R/B,2024-114B,2024-114B,0,LARGE,US,7/6/2024 15:46,7/9/2024 10:29,TIP_msg,Prediction,3
14807,14807,SL-8 DEB *,1979-089D,1979-089D,0,SMALL,CIS,6/19/2024 1:55,7/9/2024 0:00,60day_msg,Prediction,4
31077,31077,FENGYUN 1C DEB,1999-025BFX,1999-025BFX,0,SMALL,PRC,7/17/2024 17:45,7/9/2024 0:00,satcat,Historical,1
31077,31077,FENGYUN 1C DEB,1999-025BFX,1999-025BFX,0,SMALL,PRC,7/16/2024 21:28,7/9/2024 0:00,decay_msg,Historical,2
31077,31077,FENGYUN 1C DEB,1999-025BFX,1999-025BFX,0,SMALL,PRC,7/4/2024 4:07,7/9/2024 0:00,60day_msg,Prediction,4
31077,31077,FENGYUN 1C DEB,1999-025BFX,1999-025BFX,0,SMALL,PRC,6/6/2024 6:29,7/9/2024 0:00,60day_msg,Prediction,4
32072,32072,CBERS 1 DEB,1999-057QL,1999-057QL,0,SMALL,CHBZ,6/26/2024 5:47,7/9/2024 0:00,60day_msg,Prediction,4
32072,32072,CBERS 1 DEB,1999-057QL,1999-057QL,0,SMALL,CHBZ,6/6/2024 6:29,7/9/2024 0:00,60day_msg,Prediction,4
32072,32072,CBERS 1 DEB,1999-057QL,1999-057QL,0,SMALL,CHBZ,5/29/2024 22:24,7/9/2024 0:00,60day_msg,Prediction,4
35374,35374,CZ-4 DEB,2006-046G,2006-046G,0,SMALL,PRC,7/17/2024 17:45,7/9/2024 0:00,satcat,Historical,1
35374,35374,CZ-4 DEB,2006-046G,2006-046G,0,SMALL,PRC,7/4/2024 4:07,7/9/2024 0:00,60day_msg,Prediction,4
37088,37088,COSMOS 2251 DEB,1993-036BFJ,1993-036BFJ,0,SMALL,CIS,6/26/2024 5:47,7/9/2024 0:00,60day_msg,Prediction,4
37855,37855,M-CUBED/EXP-1 PRIME,2011-061F,2011-061F,0,SMALL,US,5/16/2024 4:48,7/9/2024 0:00,60day_msg,Prediction,4
46981,46981,IRIDIUM 33 DEB,1997-051ACP,1997-051ACP,0,SMALL,US,4/9/2025 19:42,7/9/2024 0:00,satcat,Historical,1
49480,49480,NOAA 17 DEB,2002-032DJ,2002-032DJ,0,SMALL,US,8/2/2024 17:54,7/9/2024 0:00,satcat,Historical,1
49480,49480,NOAA 17 DEB,2002-032DJ,2002-032DJ,0,SMALL,US,8/1/2024 6:00,7/9/2024 0:00,decay_msg,Historical,2
50284,50284,COSMOS 1408 DEB,1982-092YZ,1982-092YZ,0,SMALL,CIS,6/6/2024 6:29,7/9/2024 0:00,60day_msg,Prediction,4
50284,50284,COSMOS 1408 DEB,1982-092YZ,1982-092YZ,0,SMALL,CIS,5/22/2024 1:29,7/9/2024 0:00,60day_msg,Prediction,4
57729,57729,CZ-2D R/B,2023-130C,2023-130C,0,LARGE,PRC,5/29/2024 22:24,7/9/2024 0:00,60day_msg,Prediction,4
60080,60080,ELECTRON R/B,2024-114B,2024-114B,0,LARGE,US,7/13/2024 18:42,7/9/2024 0:00,satcat,Historical,1
60080,60080,ELECTRON R/B,2024-114B,2024-114B,0,LARGE,US,7/9/2024 15:54,7/9/2024 0:00,decay_msg,Historical,2
60228,60228,RESURS P1 DEB,2013-030S,2013-030S,0,MEDIUM,CIS,7/17/2024 17:45,7/9/2024 0:00,satcat,Historical,1
60072,60072,STARLINK-32119,2024-113P,2024-113P,0,LARGE,US,7/6/2024 0:04,7/8/2024 0:33,TIP_msg,Prediction,3
60072,60072,STARLINK-32119,2024-113P,2024-113P,0,LARGE,US,7/7/2024 0:20,7/8/2024 0:32,TIP_msg,Prediction,3
12279,12279,DELTA 1 DEB,1978-026DX,1978-026DX,0,MEDIUM,US,5/22/2024 1:29,7/8/2024 0:00,60day_msg,Prediction,4
23260,23260,CZ-4 DEB,1990-081CR,1990-081CR,0,SMALL,PRC,6/26/2024 5:47,7/8/2024 0:00,60day_msg,Prediction,4
23260,23260,CZ-4 DEB,1990-081CR,1990-081CR,0,SMALL,PRC,6/13/2024 3:48,7/8/2024 0:00,60day_msg,Prediction,4
31077,31077,FENGYUN 1C DEB,1999-025BFX,1999-025BFX,0,SMALL,PRC,5/29/2024 22:24,7/8/2024 0:00,60day_msg,Prediction,4
31434,31434,FENGYUN 1C DEB,1999-025BTW,1999-025BTW,0,SMALL,PRC,7/17/2024 17:45,7/8/2024 0:00,satcat,Historical,1
31434,31434,FENGYUN 1C DEB,1999-025BTW,1999-025BTW,0,SMALL,PRC,7/16/2024 21:28,7/8/2024 0:00,decay_msg,Historical,2
31434,31434,FENGYUN 1C DEB,1999-025BTW,1999-025BTW,0,SMALL,PRC,7/4/2024 4:07,7/8/2024 0:00,60day_msg,Prediction,4
